CODE_UIC;LIBELLE;lat;long
87713743;;0;0
87313759;Abancourt;49.685621;1.774297
87481614;Abbaretz;47.555241;-1.524289
87317362;Abbeville;50.102175;1.824538
87545269;Ablon;48.725443;2.419213
87590588;Ablon Noctilien;48.72551;2.419155
87191403;Aboncourt Mairie;49.261076;6.346603
87721944;Abrest Mairie;46.098868;3.444791
87677252;Accolay Le Pont;47.663798;3.709584
87386052;Achères Grand Cormier;48.955187;2.091962
87612978;Acheres Grand Cormier Noctilien;48.955143;2.091769
87381657;Achères Ville;48.97011;2.07739
87342048;Achiet;50.131919;2.780112
87658856;Adamswiller Lotissement la Forêt;48.905635;7.208238
87658922;Adamswiller Mairie;48.903835;7.201179
87495713;Aérogare Orly Ouest;48.728337;2.359676
87523548;Aérogare Orly Sud;48.728829;2.369614
87271460;Aéroport Charles de Gaulle 1;49.00956;2.56135
87271494;Aéroport Charles de Gaulle 2 TGV;49.003618;2.570812
87994210;Aéroport Charles de Gaulle T1;49.013273;2.541919
87994228;Aéroport Charles de Gaulle T2;49.00436;2.571021
87994152;Aéroport Charles de Gaulle T3;49.009976;2.561354
87001479;Aéroport Charles-de-Gaulle 2 RER;49.003965;2.570665
87757559;Agay;43.43137;6.8565
87781278;Agde;43.31728;3.466203
87586008;Agen;44.207967;0.6208669999999999
87595157;Agonac;45.286605;0.748653
87783399;Aguessac;44.153724;3.097892
87171702;Aguilcourt - Variscourt;49.407994;3.973095
85014001;Aigle;46.31685;6.96367
87485193;Aigrefeuille Le Thou;46.09402;-0.95168
87695957;Aiguebelette-Centre;45.537542;5.812926
87741421;Aiguebelette-le-Lac;45.536323;5.813122
87741256;Aiguebelle;45.543703;6.306737
87741710;Aigueblanche-Centre;45.501835;6.508605
87734129;Aigueperse;46.014869;3.197912
87775858;Aigues-Mortes;43.570901;4.19121
87586693;Aiguillon;44.298624;0.335543
87215624;Ailleville;48.254741;4.682252
87185629;Aillevillers;47.91389;6.33736
87313221;Ailly-sur-Noye;49.754206;2.364147
87313098;Ailly-sur-Somme;49.928515;2.200476
87775833;Aimargues;43.678643;4.20845
87741769;Aime - La Plagne;45.554387;6.648614
87668491;Aire-sur-l'Adour - Pl. liberté;43.704602;-0.259903
87713636;Aiserey;47.170645;5.158352
87741249;Aiton-Salle-Polyvalente;45.560231;6.254831
80153452;Aix la Chapelle;50.7675;6.0912
87751404;Aix-en-Provence;43.522903;5.44533
87541797;Aix-en-Provence Gare Routière;43.523333;5.43997
87319012;Aix-en-Provence TGV;43.455237;5.317534
87741132;Aix-les-Bains le Revard;45.688161;5.909371
87592667;Aixe-sur-Vienne;45.796573;1.145724
87417808;Ajain;46.207153;1.99724
87722744;Alaï;45.752428;4.771695
87420836;Alba-la-Romaine Ruines Romaines;44.570312;4.587551
87613752;Albas;44.468333;1.236667
87168716;Albas Rivière Basse;44.482404;1.229517
87168724;Albas Rivière Haute;44.473153;1.251467
87746115;Albens;45.785946;5.948342
87313072;Albert;50.005395;2.644481
87741645;Albertville;45.672977;6.383167
87440354;Albi;43.92461;2.146998
87615195;Albi Madeleine;43.938137;2.141209
87615005;Albi Ville;43.92238;2.137958
87613398;Albias;44.091981;1.444922
87721266;Albigny - Neuville;45.874897;4.832852
87697003;Albigny-Neuville-Arret-TCL-Gare;45.875356;4.833042
87444711;Alençon;48.433884;0.09853099999999999
87775288;Alès;44.127825;4.084948
87615187;Alet-les-Bains;42.997403;2.252189
85010355;Allaman;46.47575;6.3997
87117465;Allamps E.S.A.T;48.542768;5.796812
87240242;Allan Menuiserie;44.480354;4.76171
87645614;Allanche;45.229652;2.931311
87594234;Allassac;45.258984;1.473316
87113878;Allée de la Tour Rendez-Vous;48.897109;2.506475
87734665;Allègre;45.202996;3.713787
87589390;Allegre Maison Retraite;45.201985;3.713792
87783654;Allenc;44.541296;3.663893
87769554;Allex;44.764001;4.913496
87731885;Alleyras;44.919217;3.673517
87639955;Alteckendorf Altdorf;48.794562;7.589267
87639930;Alteckendorf Eckendorf;48.789785;7.601602
87639948;Alteckendorf Mairie;48.792818;7.594688
87182238;Altkirch;47.627017;7.23905
87117515;Alzing Rue de Brettnach;49.278966;6.552207
87172262;Amagne - Lucquy;49.52377;4.473898
87727917;Amance la Ville au Bois Eglise;48.286223;4.500366
87727925;Amance Mairie/Ecole;48.295107;4.516132
87592311;Ambazac;45.952901;1.406583
87743716;Ambérieu-en-Bugey;45.954014;5.342402
87395756;Ambert;45.550621;3.739699
87734574;Ambert;45.549644;3.735035
87574343;Amboise;47.421469;0.981267
87743146;Ambronay - Priay;46.011866;5.339141
87695965;Ambronay-Priay RD 1075;46.01159;5.338143
87381277;Amécourt - Talmontier;49.388524;1.735959
87313874;Amiens;49.890584;2.308277
87171744;Amifontaine;49.484738;3.910666
87394205;Amilly - Ouerray;48.438294;1.389396
87721035;Amplepuis;45.971014;4.326763
84000588;Amsterdam Centraal;52.37908;4.900632
87481192;Ancenis;47.369334;-1.177763
87172858;Anchamps;49.930745;4.670243
87575332;Anché - Voulon;46.349675;0.250357
87677997;Ancizan;42.871389;0.340833
87192419;Ancy-sur-Moselle;49.057714;6.062342
87783167;Andelat;45.058486;3.057375
87715102;Andelot;46.859428;5.923677
87611517;Andorre l'Hospitalet;42.589453;1.800264
87502039;André Malraux;48.55045;2.666416
87381491;Andrésy;48.9747;2.04928
87726406;Andrézieux;45.521736;4.255418
87484048;Angers Ma√Ætre √âcole;47.466953;-0.532437
87484006;Angers Saint-Laud;47.464649;-0.55677
87543090;Angerville;48.311632;2.003526
87620021;Anglars-Juillac;44.487223;1.198611
87583005;Angoulême;45.653572;0.164608
87485102;Angoulins sur Mer;46.107785;-1.115622
87296566;Anizy - Pinon;49.49615;3.448575
87286856;Annappes;50.622807;3.14629
87746008;Annecy;45.902047;6.121826
87600494;Annecy Gare Routière;45.901707;6.120128
87745497;Annemasse;46.199245;6.236431
87365155;Annonay Boutique SNCF;45.246458;4.675772
87761270;Annonay-Gare Routière;45.24373;4.66863
87295055;Anor;49.985022;4.093473
87721324;Anse;45.939351;4.719824
87697011;Anse-Monument;45.936999;4.718314
87287219;Anstaing;50.60387;3.193425
87757567;Anthéor Cap Roux;43.434985;6.892186
87757674;Antibes;43.585971;7.119913
87611715;Antignac Village;42.825917;0.6000180000000001
87620146;Antist;43.115068;0.120722
87758755;Antony;48.754675;2.300973
88210060;Antwerpen Centraal;51.216;4.421
87317255;Anvin;50.446779;2.255089
87191387;Anzeling;49.262072;6.460265
87405571;Anzeling Carrefour;49.26394;6.463126
87761791;Aouste-sur-Sye;44.716785;5.057115
87191643;Apach;49.458963;6.372365
87635854;Apach √âglise;49.459995;6.374217
80142893;Appenweier;48.5419;7.9735
87296459;Appilly;49.580466;3.120772
87582726;Arbanats;44.674373;-0.39551
87718155;Arbois;46.912467;5.764837
87704320;Arboretum-T4;48.897839;2.561449
87718841;Arc-et-Senans;47.030473;5.77683
87582668;Arcachon;44.658967;-1.165323
87144410;Arches Gare;48.118896;6.528105
87758672;Arcueil-Cachan;48.798451;2.327964
87683680;Arcy-sur-Cure;47.600873;3.766638
87590620;Ardoines Noctilien;48.782833;2.409112
87580340;Arenc Euroméditerranée;43.312247;5.36801
87671479;Arengosse;44.007044;-0.809053
87784231;Argelès-sur-Mer;42.543908;3.021919
87314526;Argent-sur-Sauldre;47.560036;2.447838
87444539;Argentan;48.738545;-0.025291
87381848;Argenteuil;48.94686;2.25727
87746859;Argentière;45.981944;6.926484
87741272;Argentine;45.493232;6.313534
87697151;Argentine-Gemelly-ou-Stade;45.493131;6.313834
87697144;Argentine-La-Combe;45.502072;6.318651
87597120;Argenton-sur-Creuse;46.59225;1.518256
87201566;Argenton-sur-Creuse LEP;46.589025;1.51901
87495721;Aristide Briand;48.708295;2.37133
87734590;Arlanc Place de l'église;45.413229;3.724574
87753657;Arles;43.684863;4.632105
87345421;Arleux;50.286347;3.120522
87286146;Armentières;50.680848;2.87768
87396549;Arnage;47.928541;0.189882
87360339;Arnage rue du Port;47.93151;0.186725
87737759;Arnas Avé Maria;46.021111;4.720277
87281121;Arnèke;50.831509;2.408468
